in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
2.63915e-07,1.8162e-06,4.32834e-07,5.94746e-06,5.46079e-07,6.14769e-06
8.10953e-07,1.85136e-06,5.89647e-07,6.27109e-06,4.05185e-07,6.02662e-06
1.09978e-06,1.41713e-06,1.31038e-06,5.96748e-06,2.87722e-07,6.12441e-06
4.07455e-07,1.18605e-06,1.11375e-06,5.80496e-06,1.58064e-07,6.63011e-06
5.58332e-07,1.35799e-06,5.84525e-07,5.8492e-06,8.94947e-08,7.72072e-06
1.04984e-06,1.27708e-06,1.60654e-07,6.4066e-06,2.59346e-07,8.43039e-06
4.03381e-07,6.97331e-07,6.90463e-07,6.28739e-06,5.46079e-07,8.14354e-06
1.45636e-07,1.37033e-06,4.72532e-07,5.51346e-06,5.46079e-07,8.01595e-06
1.48209e-06,1.87499e-06,3.04661e-07,5.56887e-06,5.46079e-07,7.97218e-06
1.38675e-06,1.6573e-06,1.07917e-07,6.52162e-06,2.69183e-07,7.55492e-06
