Eg,wl,Jsc,Voc,FF,efficiency,laser power
1.07,1158.7,44.8,0.813,86.3,31.43,104.384
1.08,1148,44.56,0.823,86.4,31.66,103.8248
1.09,1137.5,44.36,0.832,86.5,31.93,103.3588
1.1,1127.1,44.23,0.842,86.6,32.23,103.0559
1.11,1117,44.11,0.851,86.7,32.55,102.7763
1.12,1107,43.81,0.86,86.9,32.73,102.0773
1.13,1097.2,43.39,0.87,87,32.81,101.0987
1.14,1087.6,42.92,0.879,87.1,32.84,100.0036
1.15,1078.1,42.44,0.888,87.2,32.85,98.8852
1.16,1068.8,41.95,0.898,87.3,32.85,97.7435
1.17,1059.7,41.46,0.907,87.4,32.84,96.6018
1.18,1050.7,40.97,0.916,87.5,32.81,95.4601
1.19,1041.9,40.48,0.925,87.6,32.78,94.3184
1.2,1033.2,39.99,0.935,87.7,32.74,93.1767
1.21,1024.7,39.5,0.944,87.7,32.7,92.035
1.22,1016.3,39.01,0.953,87.8,32.65,90.8933
1.23,1008,38.53,0.962,87.9,32.59,89.7749
1.24,999.9,38.05,0.972,88,32.53,88.6565
1.25,991.9,37.57,0.981,88.1,32.46,87.5381
1.26,984,37.11,0.99,88.2,32.4,86.4663
1.27,976.3,36.71,1,88.3,32.38,85.5343
1.28,968.6,36.33,1.009,88.4,32.37,84.6489
1.29,961.1,36.03,1.018,88.4,32.44,83.9499
1.3,953.7,35.82,1.028,88.5,32.57,83.4606
1.31,946.4,35.63,1.037,88.6,32.73,83.0179
1.32,939.3,35.44,1.047,88.7,32.88,82.5752
1.33,932.2,35.32,1.056,88.8,33.1,82.2956
1.34,925.3,35.03,1.066,88.8,33.16,81.6199
1.35,918.4,34.66,1.075,88.9,33.12,80.7578
1.36,911.6,34.34,1.084,89,33.12,80.0122
1.37,905,34,1.094,89.1,33.11,79.22
1.38,898.4,33.67,1.103,89.1,33.09,78.4511
1.39,892,33.3,1.113,89.2,33.03,77.589
1.4,885.6,32.88,1.122,89.3,32.91,76.6104
1.41,879.3,32.47,1.131,89.3,32.79,75.6551
1.42,873.1,32.05,1.14,89.4,32.67,74.6765
1.43,867,31.64,1.15,89.5,32.54,73.7212
1.44,861,31.24,1.159,89.5,32.41,72.7892
1.45,855.1,30.84,1.168,89.6,32.27,71.8572
1.46,849.2,30.46,1.178,89.7,32.16,70.9718
1.47,843.4,30.07,1.187,89.7,32.01,70.0631
1.48,837.7,29.68,1.196,89.8,31.87,69.1544
1.49,832.1,29.31,1.206,89.8,31.74,68.2923
1.5,826.6,28.97,1.215,89.9,31.64,67.5001
1.51,821.1,28.64,1.224,90,31.54,66.7312
1.52,815.7,28.33,1.234,90,31.46,66.0089
1.53,810.4,27.99,1.243,90.1,31.34,65.2167
1.54,805.1,27.63,1.253,90.1,31.18,64.3779
1.55,799.9,27.26,1.262,90.2,31.02,63.5158
1.56,794.8,26.9,1.271,90.3,30.86,62.677
1.57,789.7,26.55,1.281,90.3,30.69,61.8615
1.58,784.7,26.19,1.29,90.4,30.51,61.0227
1.59,779.8,25.83,1.299,90.4,30.33,60.1839
1.6,774.9,25.47,1.309,90.5,30.14,59.3451
1.61,770.1,25.12,1.318,90.5,29.95,58.5296
1.62,765.3,24.82,1.327,90.6,29.82,57.8306
1.63,760.6,24.67,1.337,90.6,29.88,57.4811
1.64,756,24.4,1.346,90.7,29.77,56.852
1.65,751.4,24.05,1.356,90.7,29.57,56.0365
1.66,746.9,23.71,1.365,90.8,29.37,55.2443
1.67,742.4,23.38,1.374,90.8,29.17,54.4754
1.68,738,23.06,1.384,90.9,28.98,53.7298
1.69,733.6,22.74,1.393,90.9,28.8,52.9842
1.7,729.3,22.46,1.402,91,28.64,52.3318
1.71,725.1,22.19,1.412,91,28.5,51.7027
1.72,720.8,21.91,1.421,91.1,28.35,51.0503
1.73,716.7,21.67,1.43,91.1,28.23,50.4911
1.74,712.6,21.37,1.44,91.2,28.03,49.7921
1.75,708.5,21.06,1.449,91.2,27.82,49.0698
1.76,704.5,20.76,1.458,91.3,27.62,48.3708
1.77,700.5,20.47,1.468,91.3,27.42,47.6951
1.78,696.5,20.18,1.477,91.3,27.22,47.0194
1.79,692.6,19.91,1.487,91.4,27.03,46.3903
1.8,688.8,19.65,1.496,91.4,26.86,45.7845
1.81,685,19.4,1.505,91.5,26.7,45.202
1.82,681.2,19.11,1.515,91.5,26.48,44.5263
1.83,677.5,18.83,1.524,91.5,26.26,43.8739
1.84,673.8,18.54,1.533,91.6,26.03,43.1982
1.85,670.2,18.27,1.543,91.6,25.81,42.5691
1.86,666.6,17.99,1.552,91.7,25.59,41.9167
1.87,663,17.72,1.561,91.7,25.37,41.2876
1.88,659.5,17.46,1.571,91.7,25.15,40.6818
1.89,656,17.22,1.58,91.8,24.96,40.1226
1.9,652.5,16.97,1.589,91.8,24.75,39.5401
1.91,649.1,16.72,1.599,91.9,24.54,38.9576
1.92,645.8,16.47,1.608,91.9,24.33,38.3751
1.93,642.4,16.22,1.617,91.9,24.11,37.7926
1.94,639.1,15.97,1.627,92,23.89,37.2101
1.95,635.8,15.73,1.636,92,23.67,36.6509
1.96,632.6,15.49,1.645,92,23.45,36.0917
