in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.000448229,0.00103439,4.33021e-06,0.00296451,5.46084e-06,0.00314976
0.000448229,0.00103367,5.39844e-06,0.00296547,5.02382e-06,0.00314905
0.000447037,0.00103296,4.83732e-06,0.00296499,4.58866e-06,0.00314833
0.000446977,0.00103319,4.52207e-06,0.00296499,4.29226e-06,0.00314857
0.000447454,0.00103355,4.74279e-06,0.00296475,4.61543e-06,0.00314929
0.000447692,0.00103355,4.65338e-06,0.00296499,4.50158e-06,0.00314833
0.000447871,0.00103462,5.08831e-06,0.00296499,4.54488e-06,0.00314738
0.000446917,0.00103498,4.59238e-06,0.00296499,4.63219e-06,0.00314714
0.000446619,0.00103474,3.68572e-06,0.00296523,4.33813e-06,0.00314833
0.000447096,0.00103403,3.25173e-06,0.00296594,3.61215e-06,0.00314905
