Wavelength,Responsivity
403,1.4887
403.1,1.4914
403.2,1.4941
403.3,1.4969
403.4,1.4996
403.5,1.5024
403.6,1.5052
403.7,1.5081
403.8,1.5109
403.9,1.5138
404,1.5166
404.1,1.5195
404.2,1.5225
404.3,1.5254
404.4,1.5283
404.5,1.5313
404.6,1.5343
404.7,1.5373
404.8,1.5403
404.9,1.5434
405,1.5464
405.1,1.5495
405.2,1.5526
405.3,1.5557
405.4,1.5589
405.5,1.562
405.6,1.5652
405.7,1.5684
405.8,1.5716
405.9,1.5748
406,1.578
406.1,1.5813
406.2,1.5846
406.3,1.5879
406.4,1.5912
406.5,1.5945
406.6,1.5979
406.7,1.6012
406.8,1.6046
406.9,1.608
407,1.6115
407.1,1.6149
407.2,1.6184
407.3,1.6218
407.4,1.6253
407.5,1.6288
407.6,1.6324
407.7,1.6359
407.8,1.6395
407.9,1.6431
408,1.6467
408.1,1.6503
408.2,1.6539
408.3,1.6576
408.4,1.6613
408.5,1.665
408.6,1.6687
408.7,1.6724
408.8,1.6762
408.9,1.6799
409,1.6837
409.1,1.6875
409.2,1.6913
409.3,1.6952
409.4,1.699
409.5,1.7029
409.6,1.7068
409.7,1.7107
409.8,1.7146
409.9,1.7186
410,1.7226
410.1,1.7265
410.2,1.7305
410.3,1.7346
410.4,1.7386
410.5,1.7427
410.6,1.7467
410.7,1.7508
410.8,1.7549
410.9,1.7591
411,1.7632
411.1,1.7674
411.2,1.7716
411.3,1.7758
411.4,1.78
411.5,1.7842
411.6,1.7885
411.7,1.7928
411.8,1.797
411.9,1.8014
412,1.8057
412.1,1.81
412.2,1.8144
412.3,1.8188
412.4,1.8232
412.5,1.8276
412.6,1.832
412.7,1.8365
412.8,1.841
412.9,1.8455
413,1.85
413.1,1.8545
413.2,1.859
413.3,1.8636
413.4,1.8682
413.5,1.8728
413.6,1.8774
413.7,1.882
413.8,1.8867
413.9,1.8914
414,1.896
414.1,1.9008
414.2,1.9055
414.3,1.9102
414.4,1.915
414.5,1.9198
414.6,1.9246
414.7,1.9294
414.8,1.9342
414.9,1.9391
415,1.9439
415.1,1.9488
415.2,1.9537
415.3,1.9587
415.4,1.9636
415.5,1.9685
415.6,1.9734
415.7,1.9783
415.8,1.983
415.9,1.9878
416,1.9925
416.1,1.9971
416.2,2.0018
416.3,2.0063
416.4,2.0108
416.5,2.0153
416.6,2.0197
416.7,2.0241
416.8,2.0285
416.9,2.0328
417,2.037
417.1,2.0412
417.2,2.0454
417.3,2.0495
417.4,2.0536
417.5,2.0576
417.6,2.0616
417.7,2.0655
417.8,2.0694
417.9,2.0732
418,2.077
418.1,2.0808
418.2,2.0845
418.3,2.0882
418.4,2.0918
418.5,2.0954
418.6,2.0989
418.7,2.1024
418.8,2.1058
418.9,2.1092
419,2.1126
419.1,2.1159
419.2,2.1191
419.3,2.1224
419.4,2.1255
419.5,2.1287
419.6,2.1317
419.7,2.1348
419.8,2.1378
419.9,2.1407
420,2.1436
420.1,2.1465
420.2,2.1493
420.3,2.152
420.4,2.1548
420.5,2.1574
420.6,2.1601
420.7,2.1627
420.8,2.1652
420.9,2.1677
421,2.1701
421.1,2.1725
421.2,2.1749
421.3,2.1772
421.4,2.1795
421.5,2.1817
421.6,2.1839
421.7,2.186
421.8,2.1881
421.9,2.1902
422,2.1922
422.1,2.1941
422.2,2.196
422.3,2.1979
422.4,2.1997
422.5,2.2015
422.6,2.2032
422.7,2.2049
422.8,2.2066
422.9,2.2082
423,2.2097
423.1,2.2112
423.2,2.2127
423.3,2.2141
423.4,2.2155
423.5,2.2168
423.6,2.2181
423.7,2.2193
423.8,2.2205
423.9,2.2216
424,2.2227
424.1,2.2238
424.2,2.2248
424.3,2.2258
