in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00431135,0.0725865,0.000477495,0.265017,0.000562076,0.274874
0.00430921,0.0725942,0.000477256,0.265047,0.000562552,0.274874
0.00430658,0.0725942,0.000476541,0.265047,0.000563387,0.274904
0.00430492,0.0726018,0.000476422,0.265078,0.000563864,0.274935
0.00430396,0.0726056,0.000476601,0.2652,0.000564042,0.274935
0.00430229,0.0726094,0.000477197,0.26523,0.000563625,0.274965
0.00430015,0.0726132,0.000477793,0.26523,0.000563208,0.274996
0.00429824,0.0726132,0.00047821,0.26523,0.000563208,0.274996
0.00429609,0.0726171,0.000478568,0.2652,0.000563208,0.275026
0.00429347,0.0726171,0.000478329,0.2652,0.000563446,0.275057
