in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00664714,0.004756,0.000101969,0.083878,9.31327e-05,0.0876546
0.00664619,0.00475505,0.000101507,0.0838857,9.47793e-05,0.0876546
0.00664333,0.00475505,0.000102647,0.0838933,9.41535e-05,0.0876546
0.00664237,0.00475648,0.000102841,0.0838971,9.3468e-05,0.0876546
0.00664094,0.00475553,0.000102945,0.0838971,9.4377e-05,0.0876622
0.00663951,0.0047541,0.000103213,0.0838971,9.29092e-05,0.0876622
0.00663713,0.00475457,0.000103161,0.0838971,9.30582e-05,0.0876622
0.00663665,0.00475505,0.000103176,0.0839009,9.22759e-05,0.0876622
0.00663617,0.00475362,0.000103645,0.0839047,9.21194e-05,0.0876622
0.00663474,0.00475362,0.000103988,0.0839086,9.20002e-05,0.0876622
