in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.0108472,0.00549892,0.000130706,0.093781,0.000101589,0.0976872
0.0108405,0.00549701,0.00013011,0.093781,0.000102707,0.0976872
0.0108357,0.00549987,0.00012865,0.0937734,0.000105091,0.0976872
0.01083,0.00549844,0.000129336,0.0937734,0.000103944,0.0976872
0.0108252,0.00549892,0.000132353,0.0937734,0.000105598,0.0976872
0.0108233,0.00549892,0.000131981,0.0937734,0.000104346,0.0976872
0.0108185,0.00549939,0.000132271,0.0937734,0.000104145,0.0976872
0.0108147,0.00549701,0.000133322,0.0937734,0.00010372,0.0976872
0.0108071,0.00549749,0.000134119,0.0937734,0.000102632,0.0976796
0.0108033,0.00549796,0.000133225,0.0937657,0.000103415,0.0976796
