in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
0.00145782,0.00126756,2.86737e-05,0.0204126,2.41568e-05,0.0212613
0.00145722,0.00126828,2.65391e-05,0.0204126,2.52557e-05,0.0212594
0.00145663,0.00126839,2.51756e-05,0.0204107,2.39016e-05,0.0212613
0.00145543,0.00126756,2.53489e-05,0.0204107,2.27616e-05,0.0212632
0.00145508,0.00126684,2.56506e-05,0.0204107,2.24282e-05,0.0212632
0.00145508,0.00126756,2.49279e-05,0.0204107,2.23835e-05,0.0212632
0.0014546,0.00126684,2.51514e-05,0.0204126,2.32217e-05,0.0212632
0.00145293,0.00126637,2.51514e-05,0.0204107,2.26406e-05,0.0212632
0.00145353,0.00126708,2.66602e-05,0.0204107,2.25754e-05,0.0212594
0.00145543,0.0012672,2.60473e-05,0.0204126,2.27393e-05,0.0212594
